Date : 2026-01-16 03:59:12
Directory : /Users/hei/IdeaProjects/fyp
Total : 69 files,  29169 codes, 325 comments, 734 blanks, all 30228 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         18 |     24,384 |          0 |          8 |     24,392 |
| JavaScript       |         17 |      2,674 |         49 |        245 |      2,968 |
| Python           |         18 |      1,312 |         92 |        332 |      1,736 |
| Java             |          9 |        624 |        161 |        122 |        907 |
| Markdown         |          1 |         63 |          0 |         18 |         81 |
| pip requirements |          1 |         46 |          0 |          1 |         47 |
| CSS              |          2 |         36 |          0 |          7 |         43 |
| HTML             |          1 |         20 |         23 |          1 |         44 |
| XML              |          2 |         10 |          0 |          0 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         69 |     29,169 |        325 |        734 |     30,228 |
| . (Files)                                                                               |         10 |        620 |         36 |        135 |        791 |
| core                                                                                    |          3 |         63 |         16 |         18 |         97 |
| explain-frontend                                                                        |         25 |     24,371 |         72 |        259 |     24,702 |
| explain-frontend (Files)                                                                |          4 |     21,455 |          1 |          3 |     21,459 |
| explain-frontend/public                                                                 |          2 |         45 |         23 |          2 |         70 |
| explain-frontend/src                                                                    |         19 |      2,871 |         48 |        254 |      3,173 |
| lessons_raw                                                                             |         13 |      2,525 |          0 |          1 |      2,526 |
| practical_tests                                                                         |         10 |        843 |        161 |        123 |      1,127 |
| practical_tests/set1                                                                    |         10 |        843 |        161 |        123 |      1,127 |
| practical_tests/set1/base                                                               |          4 |         72 |         26 |         38 |        136 |
| practical_tests/set1/questions                                                          |          1 |        219 |          0 |          1 |        220 |
| practical_tests/set1/solution                                                           |          5 |        552 |        135 |         84 |        771 |
| routers                                                                                 |          6 |        713 |         40 |        192 |        945 |
| services                                                                                |          2 |         34 |          0 |          6 |         40 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/hei/IdeaProjects/fyp/GEMINI.md                                                   | Markdown         |         63 |          0 |         18 |         81 |
| /Users/hei/IdeaProjects/fyp/convert.py                                                  | Python           |         36 |          1 |         13 |         50 |
| /Users/hei/IdeaProjects/fyp/core/__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| /Users/hei/IdeaProjects/fyp/core/config.py                                              | Python           |         42 |         16 |         10 |         68 |
| /Users/hei/IdeaProjects/fyp/core/utils.py                                               | Python           |         21 |          0 |          7 |         28 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/package-lock.json                          | JSON             |     21,387 |          0 |          1 |     21,388 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/package.json                               | JSON             |         53 |          0 |          1 |         54 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/postcss.config.js                          | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/public/index.html                          | HTML             |         20 |         23 |          1 |         44 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/public/manifest.json                       | JSON             |         25 |          0 |          1 |         26 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/AI.js                                  | JavaScript       |        441 |          2 |         28 |        471 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/App.css                                | CSS              |         33 |          0 |          6 |         39 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/App.js                                 | JavaScript       |         32 |          0 |          6 |         38 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/App.test.js                            | JavaScript       |          7 |          0 |          2 |          9 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/Compiler.js                            | JavaScript       |        275 |          4 |         34 |        313 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/HomePage.js                            | JavaScript       |        700 |         15 |         31 |        746 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/LessonLayout.js                        | JavaScript       |         38 |          0 |          6 |         44 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/Lessons.js                             | JavaScript       |         43 |          0 |          7 |         50 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/Navbar.js                              | JavaScript       |        300 |          0 |         13 |        313 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/Playground.js                          | JavaScript       |         69 |          1 |          9 |         79 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/PracticalTest.js                       | JavaScript       |        326 |         16 |         61 |        403 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/Quiz.js                                | JavaScript       |        365 |          5 |         31 |        401 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/index.css                              | CSS              |          3 |          0 |          1 |          4 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/index.js                               | JavaScript       |         14 |          0 |          2 |         16 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/logo.svg                               | XML              |          1 |          0 |          0 |          1 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/quizQuestions.json                     | JSON             |        175 |          0 |          3 |        178 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/reportWebVitals.js                     | JavaScript       |         12 |          0 |          2 |         14 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/server.js                              | JavaScript       |         36 |          1 |         11 |         48 |
| /Users/hei/IdeaProjects/fyp/explain-frontend/src/setupTests.js                          | JavaScript       |          1 |          4 |          1 |          6 |
